stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\gabri\source\repos\MyProject\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
dtor     D               dtor.c:196  _al_register_destructor          [   0.00870] added dtor for queue 000001926D369580, func 00007FFE47831C53
dtor     D               dtor.c:196  _al_register_destructor          [   0.01156] added dtor for bitmap 000001926D34ED90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01489] added dtor for bitmap 000001926D36EC80, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01785] added dtor for bitmap 000001926D358090, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01852] added dtor for sub_bitmap 000001926D3507C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01867] added dtor for sub_bitmap 000001926D3509B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01873] added dtor for sub_bitmap 000001926D350BA0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01884] added dtor for sub_bitmap 000001926D3E09A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01890] added dtor for sub_bitmap 000001926D3E0B90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01896] added dtor for sub_bitmap 000001926D3E0D80, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01904] added dtor for sub_bitmap 000001926D3E0F70, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01910] added dtor for sub_bitmap 000001926D3E1160, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01919] added dtor for sub_bitmap 000001926D3E1350, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01926] added dtor for sub_bitmap 000001926D3E1540, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01933] added dtor for sub_bitmap 000001926D3E1730, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01946] added dtor for sub_bitmap 000001926D3E1920, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.01968] added dtor for sub_bitmap 000001926D3E1B10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02003] added dtor for sub_bitmap 000001926D3E28F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02018] added dtor for sub_bitmap 000001926D3E1F40, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02032] added dtor for sub_bitmap 000001926D3E2700, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02059] added dtor for sub_bitmap 000001926D3E2AE0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02075] added dtor for sub_bitmap 000001926D3E2320, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02095] added dtor for sub_bitmap 000001926D3E2510, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02214] added dtor for sub_bitmap 000001926D3E2130, func 00007FFE47831190
